,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
102,CHEMBL1579924,COc1cccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)c1OC,inactive,436.53600000000023,2.7985000000000007,1.0,7.0,4.38605252321965
103,CHEMBL1592785,O=C(O)[C@H](Cc1ccccc1)N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,inactive,433.0740000000002,4.592100000000002,1.0,3.0,4.6219656775426685
104,CHEMBL1879517,O=C(O)CN1C(=O)/C(=C\c2ccccc2OCc2ccccc2)SC1=S,inactive,385.466,3.5514000000000028,1.0,5.0,4.44660248987612
105,CHEMBL1430882,O=[N+]([O-])c1cc([N+](=O)[O-])c2c(Nc3ccccc3)n(-c3ccccc3)[n+]([O-])c2c1,inactive,391.34300000000013,3.8239000000000027,1.0,7.0,4.509900994936695
106,CHEMBL1985591,CC(=O)Oc1oc(-c2ccccc2)nc1/C=N/c1ccccc1,inactive,306.321,4.017500000000003,0.0,5.0,4.063737658096523
107,CHEMBL1423709,Cn1cccc1/C=C1/C(=O)NC(=S)N(Cc2ccc(F)cc2)C1=O,inactive,343.38300000000004,1.9910999999999999,1.0,4.0,4.0
108,CHEMBL1391547,O=C(O)c1ccc2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1ccccn1)N2,inactive,292.33799999999997,3.606300000000002,2.0,3.0,4.580374639112256
109,CHEMBL1532198,O=C(O)CN1C(=O)/C(=C\c2cc([N+](=O)[O-])ccc2OCc2ccccc2Cl)SC1=S,inactive,464.9080000000002,4.113000000000002,1.0,7.0,4.507099988891297
110,CHEMBL1462687,O=C(Nc1cccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)c1)c1ccc(-c2ccccc2)cc1,inactive,453.4500000000001,5.7946000000000035,3.0,4.0,4.688882157337495
111,CHEMBL1335165,CSC(SC)=C(C#N)C(=O)c1ccccc1,inactive,249.36,3.3304800000000014,0.0,4.0,4.07242434530889
112,CHEMBL1732365,CC1=C(SCc2ccccc2)C(=O)c2ccccc2C1=O,inactive,294.37500000000006,4.273000000000003,0.0,3.0,4.1149216158507755
113,CHEMBL1587159,Cc1c(CCC(=O)O)c(=O)oc2c(C)c3occ(-c4ccc(Cl)cc4)c3cc12,inactive,396.826,5.493640000000004,1.0,4.0,4.374893424596532
114,CHEMBL1344289,COCCNC(=O)c1c(NC(=O)c2ccco2)n(Cc2ccccc2)c2nc3ccccc3nc12,inactive,469.5010000000002,3.854300000000003,2.0,7.0,4.0
115,CHEMBL1327721,O=[N+]([O-])c1c(NCCCO)cc(Sc2nc3ccccc3s2)c2nonc12,inactive,403.44500000000016,3.6862000000000013,2.0,10.0,4.637329070274333
116,CHEMBL1311708,O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(Cl)cc3)c2)SC1=S,inactive,419.911,4.204800000000002,1.0,5.0,4.403842919083828
117,CHEMBL1462906,N#Cc1c(O)nc(SCc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,inactive,387.386,5.031980000000003,1.0,5.0,4.369267107182804
120,CHEMBL1559165,CSc1sccc1/C=C(/C#N)C(=O)c1ccco1,inactive,275.354,3.8528800000000025,0.0,5.0,4.0
121,CHEMBL1462814,Nc1ncc(N=Nc2cc(C(=O)O)ccc2Cl)s1,inactive,282.712,3.492300000000001,2.0,6.0,4.133240216504892
122,CHEMBL1407205,O=C(Nc1sc2c(c1C(=O)O)CCCC2)c1cccc(Cl)c1,inactive,335.812,4.230800000000003,2.0,3.0,4.143754599209946
123,CHEMBL1548688,CCO.N#Cc1c(SC(C(=O)O)c2ccccc2)nc2c(c1-c1cccs1)CCCC2,inactive,452.6010000000003,5.477180000000003,2.0,6.0,4.406492410668235
124,CHEMBL1470135,Cc1oc2c(c1C(=O)c1ccccc1)C(=O)C(=O)c1ccccc1-2,inactive,316.312,3.865020000000002,0.0,4.0,4.314885530953461
125,CHEMBL1304402,CN1CCN(C(c2ccccn2)c2cc(Cl)c3cccnc3c2O)CC1,inactive,368.8680000000001,3.3256000000000014,1.0,5.0,4.0
126,CHEMBL1431075,CC(C)c1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)s1,inactive,455.9240000000001,3.470200000000002,1.0,8.0,4.017819254403597
127,CHEMBL1304374,COc1cc(Cl)cc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)c1O,inactive,490.8990000000002,5.5934000000000035,5.0,4.0,4.771343041891065
128,CHEMBL1311811,C#CCOc1c(Cl)cc(/C=C2/C(=O)ON=C2C)cc1OCC,inactive,319.7440000000001,3.0668000000000015,0.0,5.0,4.0
129,CHEMBL1470182,COc1cc(/C=C2\SC(NS(=O)(=O)Cc3ccccc3)=NC2=O)c([N+](=O)[O-])cc1OC,inactive,463.4930000000002,2.701900000000001,1.0,8.0,4.253521490069969
130,CHEMBL3144932,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1cccc([N+](=O)[O-])c1O)c1c(C)[nH]n(-c2ccccc2)c1=O,inactive,497.5110000000002,4.055440000000003,3.0,7.0,4.500863005462617
131,CHEMBL1334390,COC(=O)CCC(=O)OC1(C)C(=O)C2=CN(CC3CC3)C(c3ccc(OC)cc3)=CC2=C(Br)C1=O,inactive,544.3980000000003,3.701500000000003,0.0,8.0,4.514988785421427
132,CHEMBL1431018,CC1=NN(c2ccc(Br)cc2)C(=O)/C1=C/c1ccc(-c2ccccc2C(=O)O)o1,inactive,451.2760000000002,5.213400000000004,1.0,4.0,4.52360317327467
133,CHEMBL1364062,CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1cc(C(=O)CCCC)c(OC)cc1O2,inactive,456.4910000000003,5.529500000000004,2.0,7.0,4.409381051793422
134,CHEMBL1391737,O=C(NCc1ccccc1)c1sc(=S)n2c1[nH]c(=O)c1ccccc12,inactive,367.4550000000001,3.5017900000000015,2.0,5.0,4.113509274827518
135,CHEMBL1430983,COc1cc(/C=C2\SC(=O)N(Cc3ccc(Cl)cc3)C2=O)cc([N+](=O)[O-])c1O,inactive,420.83000000000015,4.198900000000004,1.0,7.0,4.170953663146817
136,CHEMBL461622,Nc1scc2c(C(=O)O)nn(-c3ccccc3)c(=O)c12,inactive,287.30000000000007,1.7276,2.0,6.0,4.346884006834433
137,CHEMBL1587422,Cc1ccc(C)c(-n2c3nc(=O)[nH]c(=O)c-3cc3cc([N+](=O)[O-])ccc32)c1,inactive,362.3450000000001,2.7038400000000005,1.0,6.0,4.82623117686335
138,CHEMBL1344491,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,inactive,451.9610000000001,3.4686200000000023,1.0,8.0,4.0
139,CHEMBL1509648,Cc1ccc(/C=C/C(=O)Nc2ccc([N+](=O)[O-])c(NC(=O)/C=C/c3ccc(C)o3)c2)o1,inactive,421.40900000000016,4.701440000000003,2.0,6.0,4.0
140,CHEMBL1509676,COC(=O)c1ccc(N2NC(=O)/C(=C/c3ccc(-c4ccc(Cl)c(C(=O)O)c4)o3)C2=O)cc1,inactive,466.8330000000002,3.5462000000000016,2.0,6.0,4.923359556329658
141,CHEMBL1541379,CSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)s1,inactive,441.9470000000001,2.9296000000000015,1.0,9.0,4.2955063029907015
142,CHEMBL1509704,CSc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,inactive,456.5230000000002,5.947700000000004,4.0,3.0,4.311936303053655
143,CHEMBL1402473,Cc1nc(COC(=O)c2cc(O)c3ccccc3c2O)cs1,inactive,315.35,3.3729200000000015,2.0,6.0,4.366026844210326
144,CHEMBL3145223,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc(O)c([N+](=O)[O-])c1)c1c(C)[nH]n(-c2ccccc2)c1=O,inactive,497.5110000000002,4.055440000000003,3.0,7.0,4.542723813938674
145,CHEMBL1402497,CCCCCCSc1nc(O)c(C2OC(=O)c3c2ccc(OC)c3OC)c(=O)n1CC,inactive,448.5410000000003,3.9182000000000032,1.0,9.0,4.244582537189063
146,CHEMBL1532323,O=C(CCN1C(=O)/C(=C\c2ccccc2F)SC1=S)Nc1ccc(C(=O)O)c(O)c1,inactive,446.48100000000017,3.459500000000001,3.0,6.0,4.488517711373999
147,CHEMBL1492926,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)cc2)o1,inactive,450.8340000000002,4.802500000000003,2.0,5.0,4.711303739409744
148,CHEMBL3194554,C=CCOC(=O)C1=C(C)N=c2s/c(=C3\C(=O)N(CC(=O)O)c4ccccc43)c(=O)n2C1c1ccc(OC)cc1.CC(=O)O,inactive,605.6250000000003,1.8652999999999997,2.0,10.0,4.226432951073941
149,CHEMBL1880447,CC1=NN(c2ccccc2)C(=O)C1=Cc1ccccc1,inactive,262.31199999999995,3.492700000000002,0.0,2.0,4.225994269741791
